Index,ID,Query,SmilesRan,Error,Exp_Value:_-Log10(mol/L),Pred_Value:_-Log10(mol/L),Exp_Value:_mg/L,Pred_Value:_mg/L,
1,109-76-2,C(C(C(N([H])[H])([H])[H])([H])[H])(N([H])[H])([H])[H],NCCCN,,1.79,2.1,1191.55,586.49,bmse000001
2,138-81-8,P(OC(C(O[H])=O)(C(OP(O[H])(O[H])=O)([H])[H])[H])(O[H])(O[H])=O,O=C(O)C(OP(=O)(O)O)COP(=O)(O)O,,N/A,3.42,N/A,101.04,bmse000002
3,NOCAS_862488,O(C(C1(OC(N2C=3N(C(N([H])[H])=NC(=O)C3N=C2[H])[H])(C(C1(O[H])[H])([H])[H])[H])[H])([H])[H])[H],OC1=NC(=NC2=C1N=CN2C3OC(CO)C(O)C3)N,,N/A,2.73,N/A,497.73,bmse000003
4,NOCAS_862572,C1(=NC(=C2C(=N1)N(C(=N2)[H])C3(C(C(C(C(OP(O[H])(=O)OP(O[H])(O[H])=O)([H])[H])(O3)[H])(O[H])[H])(O[H])[H])[H])N([H])[H])[H],,Structure can't be parsed,,,,,bmse000004
5,NOCAS_859046,C1(=NC(=C2C(=N1)N(C(=N2)[H])C3(C(C(C(C(OP(O[H])(O[H])=O)([H])[H])(O3)[H])(O[H])[H])(O[H])[H])[H])N([H])[H])[H],,Structure can't be parsed,,,,,bmse000005
6,C_ZKHQWZAMYRWXGA-UHFFFAOYSA-N,C1(=NC(=C2C(=N1)N(C(=N2)[H])C3(C(C(C(C(OP(O[H])(=O)OP(O[H])(=O)OP(O[H])(O[H])=O)([H])[H])(O3)[H])(O[H])[H])(O[H])[H])[H])N([H])[H])[H],[H]OC1([H])C([H])(O[H])C([H])(OC1([H])N2C([H])=NC=3C(=NC([H])=NC32)N([H])[H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OP(=O)(O[H])O[H],,N/A,N/A,N/A,N/A,bmse000006
7,820-11-1,O=C(O[H])C(O[H])(C(OP(=O)(O[H])O[H])([H])[H])[H],O=C(O)C(O)COP(=O)(O)O,,N/A,3.95,N/A,21.12,bmse000007
8,42752-07-8,C1(C(C(C(C(O1)(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H],,Structure can't be parsed,,,,,bmse000008
9,C_RFSUNEUAIZKAJO-UHFFFAOYSA-N,C1(C(C(C(O1)(C(O[H])([H])[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])O[H],[H]OC([H])([H])C1([H])OC(O[H])(C([H])([H])O[H])C([H])(O[H])C1([H])O[H],,N/A,0.57,N/A,48171.97,bmse000010
10,34693-23-7,P(=O)(O[H])(O[H])OC(C1(O[H])C(O[H])(C(O[H])(C(O1)(C(OP(=O)(O[H])O[H])([H])[H])[H])[H])[H])([H])[H],O=P(O)(O)OCC1OC(O)(COP(=O)(O)O)C(O)C1O,,N/A,N/A,N/A,N/A,bmse000011
11,C_BGWGXPAPYGQALX-UHFFFAOYSA-N,C1(OC(C(C1(O[H])[H])(O[H])[H])(C(O[H])([H])[H])O[H])(C(OP(O[H])(O[H])=O)([H])[H])[H],[H]OC([H])([H])C1(O[H])OC([H])(C([H])([H])OP(=O)(O[H])O[H])C([H])(O[H])C1([H])O[H],,N/A,2.53,N/A,765.89,bmse000012
12,42752-07-8,C1(C(C(C(C(C(O[H])([H])[H])(O1)[H])(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H],,Structure can't be parsed,,,,,bmse000013
13,42752-07-8,C1(C(C(C(C(C(O[H])([H])[H])(O1)[H])(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H],,Structure can't be parsed,,,,,bmse000015
14,2071722-98-8,C1(C(C(C(C(O1)(C(OP(=O)(O[H])O[H])([H])[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H],,Structure can't be parsed,,,,,bmse000016
15,5965-66-2,C1(C(OC(C(C1(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])(OC2(OC(C(C(C2(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])[H])[H],OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,,N/A,2.25,N/A,1940.75,bmse000017
16,42752-07-8,O(C1(C(C(C(C(C(O[H])([H])[H])(O1)[H])(O[H])[H])(O[H])[H])(O[H])[H])[H])[H],,Structure can't be parsed,,,,,bmse000018
17,616-07-9,C(C(C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])(N([H])[H])[H])(=O)O[H],,Structure can't be parsed,,,,,bmse000019
18,686298-95-3,C1(C(C(C(C(O1)([H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])O[H],,Structure can't be parsed,,,,,bmse000020
19,686298-95-3,C1(C(C(C(C(O1)([H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])O[H],,Structure can't be parsed,,,,,bmse000022
20,686298-95-3,C1(C(C(C(C(O1)([H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])O[H],,Structure can't be parsed,,,,,bmse000023
21,320-77-4,C(O[H])(=O)C(O[H])(C(C(C(=O)O[H])([H])[H])(C(O[H])=O)[H])[H],,Structure can't be parsed,,,,,bmse000025
22,1132639-46-3,C1(C(C(C(C(O1)([H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H],,Structure can't be parsed,,,,,bmse000026
